地區,縣市,名稱,關鍵字,地址
北部,台北,北投溫泉,溫泉,台北市北投區
北部,台北,擎天崗,爬山,台北市士林區菁山路101巷246號
北部,新北,茶壺山步道,爬山,新北市瑞芳區祈堂路53號
北部,新北,象鼻岩,爬山,新北市瑞芳區
北部,新竹,英桃的天闊營地,露營,新竹縣五峰鄉梅山山頂
北部,宜蘭,北關海潮公園,海邊,宜蘭縣頭城鎮台二線135.5公里
北部,新北,鶯歌手拉坏,,新北市鶯歌區文化路
北部,桃園,水漾石門咖啡,,桃園市大溪區環湖路二段100-1號
北部,台北,內湖剪刀石,爬山,台北市內湖區環山路二段
北部,宜蘭,鬥陣來七桃體驗館,,宜蘭縣五結鄉利工三路59號2樓
北部,新竹,田庄桑椹冰店,,新竹市東區南大路429號
南部,台南,台江文化中心,,台南市安南區安吉路一段205號
南部,澎湖,澎湖花火節,,
中部,南投,天地眼登山健行步道,爬山,
東部,台東,三仙台,海邊,臺東縣成功鎮三仙里基翬路74號
東部,台東,伯朗大道,騎腳踏車,沿台9線轉197縣道
東部,台東,鐵花村,,臺東縣臺東市鐵花路369號
東部,花蓮,翡翠谷,海邊,花蓮縣秀林鄉榕樹部落
東部,花蓮,七星潭,海邊,花蓮縣新城鄉大漢村
中部,台中,后豐鐵馬道,騎腳踏車,台中市豐原區國豐路三段
中部,台中,東海大學,,台中市西屯區台灣大道四段1727號
北部,宜蘭,明池國家森林遊樂區,,宜蘭縣大同鄉明池山莊1號 
南部,高雄,澄清湖,,高雄市鳥松區大埤路32號
中部,彰化,福寶濕地,海邊,彰化縣福興鄉新生路臨63號
中部,台中,知高圳步道,,台中市烏日區中山路三段登寺巷176號
北部,桃園,巧克力共和國,,桃園市八德區介壽路二段巧克力街
中部,苗栗,卓蘭山林鳥日子,,苗栗縣卓蘭鎮西坪里西坪73號
中部,台中,高美濕地,海邊,臺中市清水區大甲溪出海口
中部,台中,彩虹眷村,,台中市南屯區春安路56巷25號
南部,台南,奇美博物館,,台南市仁德區文華路二段66號
北部,宜蘭,春水笈溫泉湯屋,溫泉,宜蘭縣礁溪鄉德陽村忠孝路一巷
南部,嘉義,奮起湖,,嘉義縣竹崎鄉中和村
南部,高雄,舊鐵橋天空步道,,高雄市大樹區竹寮路109號
南部,高雄,駁二藝術特區,,高雄市鹽埕區大勇路1號
中部,雲林,澄霖沉香味道森林館,,雲林縣虎尾鎮惠來路75-6號
南部,嘉義,東石漁人碼頭,海邊,嘉義縣東石鄉東石村彩霞大道420號
中部,南投,忘憂森林,爬山,南投縣竹山鎮大鞍里溪山路
北部,基隆,長潭里漁港,海邊,基隆市中正區北寧路369巷
南部,屏東,紫心樓,,屏東縣泰武鄉武潭村老潭巷7號
東部,花蓮,慕谷慕魚,海邊,花蓮縣秀林鄉榕樹1鄰2號
中部,苗栗,柚香露露,露營,苗栗縣銅鑼鄉朝陽村朝北1號
東部,花蓮,曼波海灘,海邊,花蓮縣新城鄉花8鄉道8號
